City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Council Bluffs,US,41.2619,-95.8608,28.85,46,75,11.5,broken clouds
262,Sinnamary,GF,5.3833,-52.95,76.01,91,97,9.1,overcast clouds
263,Kavaratti,IN,10.5669,72.642,80.6,71,0,7.05,clear sky
264,Chardara,KZ,41.2547,67.9692,40.23,57,100,11.79,overcast clouds
265,Twentynine Palms,US,34.1356,-116.0542,69.66,9,2,2.15,clear sky
266,Ambilobe,MG,-13.2,49.05,71.6,94,17,1.88,few clouds
267,Forio,IT,40.7342,13.8646,53.82,83,34,1.01,scattered clouds
268,Kimbe,PG,-5.5502,150.1429,86.81,68,91,3.94,light rain
269,Russkaya Polyana,UA,49.417,31.9201,28.53,71,6,6.87,clear sky
270,Port Moresby,PG,-9.4431,147.1797,89.02,55,40,11.5,haze
271,Kalmunai,LK,7.4167,81.8167,77.81,79,81,9.42,broken clouds
272,Aklavik,CA,68.2191,-135.0107,-23.08,98,100,10.74,light snow
273,Tromso,NO,69.6496,18.957,26.62,80,75,4.0,broken clouds
274,La Asuncion,VE,11.0333,-63.8628,78.53,78,36,17.27,scattered clouds
275,Mumford,GH,5.2618,-0.759,78.84,85,97,7.11,light rain
276,Lac Du Bonnet,CA,50.2536,-96.0612,-7.55,99,97,4.56,overcast clouds
277,Palamos,ES,41.8484,3.1291,56.32,54,61,5.01,broken clouds
278,Asfi,MA,32.2994,-9.2372,55.47,83,19,7.67,few clouds
279,Mahebourg,MU,-20.4081,57.7,80.89,89,40,6.91,scattered clouds
280,Riviere-Au-Renard,CA,48.9957,-64.3971,5.0,93,25,7.54,scattered clouds
281,Teknaf,BD,20.8624,92.3058,64.94,49,2,4.65,clear sky
282,Dalvik,IS,65.9702,-18.5286,8.53,71,99,10.4,overcast clouds
283,Nybro,SE,56.7446,15.9071,38.05,84,100,9.78,overcast clouds
284,North Bend,US,43.4065,-124.2243,49.86,95,75,4.61,broken clouds
285,Torbay,CA,47.6666,-52.7314,32.76,86,100,10.36,overcast clouds
286,Bojnurd,IR,37.4747,57.329,35.55,80,100,16.11,overcast clouds
287,Myitkyina,MM,25.3833,97.4,60.39,52,0,2.98,clear sky
288,Hobyo,SO,5.3505,48.5268,76.59,71,67,16.55,broken clouds
289,Bethel,US,41.3712,-73.414,26.96,64,100,9.22,overcast clouds
290,Saint-Augustin,CA,51.226,-58.6502,-23.12,93,43,6.2,scattered clouds
291,San Juan,AR,-31.5375,-68.5364,77.65,34,6,3.27,clear sky
292,Cidreira,BR,-30.1811,-50.2056,68.77,88,24,2.75,few clouds
293,San Luis Rio Colorado,MX,32.4631,-114.7767,77.77,11,0,8.21,clear sky
294,Pangnirtung,CA,66.1451,-65.7125,-29.2,68,20,2.3,few clouds
295,Laguna,US,38.421,-121.4238,68.34,53,0,5.75,clear sky
296,Isangel,VU,-19.55,169.2667,85.69,69,57,10.38,broken clouds
297,Visnes,NO,59.3556,5.2242,41.58,93,100,14.97,drizzle
298,Isla Mujeres,MX,21.2311,-86.731,68.16,72,28,20.67,scattered clouds
299,Holme,DK,56.1138,10.1725,42.66,85,100,17.2,overcast clouds
300,Samarinda,ID,-0.5,117.15,79.7,79,100,1.23,overcast clouds
301,Coihaique,CL,-45.5752,-72.0662,58.95,58,82,4.61,broken clouds
302,Doda,IN,33.1333,75.5667,47.84,62,100,3.51,overcast clouds
303,Jiaxing,CN,30.7522,120.75,46.42,70,6,6.64,clear sky
304,Gat,IL,31.61,34.7642,56.39,100,99,7.43,overcast clouds
305,Rocha,UY,-34.4833,-54.3333,58.21,62,50,6.67,scattered clouds
306,Conde,BR,-7.2597,-34.9075,80.06,83,40,5.75,scattered clouds
307,Eyl,SO,7.9803,49.8164,71.74,73,57,11.77,broken clouds
308,Tarakan,ID,3.3,117.6333,83.7,74,40,3.44,scattered clouds
309,Kaitangata,NZ,-46.2817,169.8464,60.93,71,99,6.62,overcast clouds
310,Norman Wells,CA,65.282,-126.8329,-7.56,71,75,2.3,light snow
311,Sarangani,PH,5.4033,125.4636,81.34,74,75,19.86,broken clouds
312,Longyearbyen,SJ,78.2186,15.6401,15.64,92,75,6.91,light snow
313,Khandyga,RU,62.6667,135.6,-26.37,94,64,1.3,broken clouds
314,Poum,NC,-20.2333,164.0167,82.89,76,99,11.14,overcast clouds
315,Cockburn Town,TC,21.4612,-71.1419,77.65,83,0,17.16,clear sky
316,Utica,US,43.1009,-75.2327,15.91,76,57,8.75,broken clouds
317,Fortuna,US,40.5982,-124.1573,59.47,95,100,0.0,overcast clouds
318,Marathon,US,44.9,-89.7668,6.66,59,75,0.0,broken clouds
319,Kiama,AU,-34.6833,150.8667,84.38,58,95,11.99,overcast clouds
320,Upernavik,GL,72.7868,-56.1549,-3.35,96,100,4.47,overcast clouds
321,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,59.31,66,0,7.36,clear sky
322,Kisanga,TZ,-7.4362,37.7034,74.1,97,100,1.28,light rain
323,Nicolas Bravo,MX,18.45,-88.9167,68.43,84,98,6.13,overcast clouds
324,Sinjai,ID,-5.1241,120.253,76.84,92,100,3.96,overcast clouds
325,Lingao,CN,19.9103,109.6859,61.86,88,100,10.33,overcast clouds
326,Zhangjiakou,CN,40.81,114.8794,3.27,64,8,7.65,light snow
327,Hofn,IS,64.2539,-15.2082,22.73,67,31,9.91,scattered clouds
328,Deputatskiy,RU,69.3,139.9,-11.51,95,98,4.79,overcast clouds
329,Itarema,BR,-2.9248,-39.9167,79.45,81,24,12.44,few clouds
330,Shimoda,JP,34.6667,138.95,43.16,66,100,17.65,overcast clouds
331,Aykhal,RU,66.0,111.5,-6.48,54,44,1.77,scattered clouds
332,Moose Factory,CA,51.2585,-80.6094,-16.62,83,0,2.3,clear sky
333,Kainan,JP,34.15,135.2,48.2,63,100,13.6,overcast clouds
334,Cabra,ES,37.4725,-4.4421,56.39,82,90,1.99,overcast clouds
335,Charters Towers,AU,-20.1,146.2667,85.21,39,24,15.35,few clouds
336,Tual,ID,-5.6667,132.75,80.67,76,76,7.36,broken clouds
337,Garza Garcia,MX,25.6667,-100.4,61.84,49,88,5.01,overcast clouds
338,Zyryanka,RU,65.75,150.85,-20.51,89,12,6.46,few clouds
339,Xiaoyi,CN,34.6178,109.703,43.52,47,4,10.6,clear sky
