City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Moog,PH,80.31,overcast clouds,8.6011,124.4658,AGD Inn
422,Port Shepstone,ZA,75.02,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
429,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
439,Ngunguru,NZ,75.16,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
440,Santo Amaro Da Imperatriz,BR,76.77,overcast clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
442,Tumut,AU,85.19,overcast clouds,-35.3,148.2167,Amaroo Motel
448,Puro,PH,81.68,overcast clouds,12.4841,123.3827,
449,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
453,Maracaju,BR,78.71,broken clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
454,Viedma,AR,79.39,clear sky,-40.8135,-62.9967,Hotel Cristal
457,Kununurra,AU,76.98,moderate rain,-15.7667,128.7333,Hotel Kununurra
458,Sibut,CF,75.15,overcast clouds,5.718,19.0739,
460,Micheweni,TZ,78.35,scattered clouds,-4.9667,39.8333,
466,Port Macquarie,AU,76.96,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
470,Nagapattinam,IN,76.98,broken clouds,10.7667,79.8333,Sathya Lodge
475,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
483,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
492,Galesong,ID,86.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
495,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
497,Dubbo,AU,82.53,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
499,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
500,Mana,GF,75.58,broken clouds,5.6592,-53.7767,LE SAMANA
502,Bubaque,GW,77.99,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
503,Emerald,AU,88.34,clear sky,-23.5333,148.1667,The Irish Village
504,Kibala,TD,77.54,overcast clouds,9.1104,18.3463,hotel safari
510,Kieta,PG,84.02,light rain,-6.2167,155.6333,Uruna Bay Retreat
511,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
519,Kerema,PG,83.32,light rain,-7.9631,145.7785,Frena Lodge
522,Thinadhoo,MV,81.61,overcast clouds,0.5333,72.9333,
525,Kourou,GF,80.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
526,Lazaro Cardenas,MX,77.13,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
530,Mahajanga,MG,75.79,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
538,Oriximina,BR,77.2,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
547,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
548,Mount Isa,AU,89.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
554,Santa Rosa,PH,83.1,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
561,Braganca,BR,75.45,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
566,Victoria Point,AU,82.69,light rain,-27.5833,153.3,Bay Retreat Motel
568,Port-Gentil,GA,80.65,overcast clouds,-0.7193,8.7815,Fengshui Residence
575,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
582,Yaan,NG,78.73,overcast clouds,7.3833,8.5667,
593,Harper,LR,76.98,scattered clouds,4.375,-7.7169,Screensaver
596,Pemangkat,ID,80.33,overcast clouds,1.1667,108.9667,Ramah Kost KITA
601,Olindina,BR,75.07,broken clouds,-11.3667,-38.3333,Pousada Maria Bonita
608,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
614,Ranong,TH,85.93,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
615,Lethem,GY,79.21,few clouds,3.3803,-59.7968,Savannah Inn
618,Buchanan,LR,78.22,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
621,Sola,VU,82.76,overcast clouds,-13.8833,167.55,Leumerus Bungalows
625,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
626,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
627,Rio De Janeiro,BR,78.8,clear sky,-22.9028,-43.2075,Hotel Málaga
631,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
634,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
653,Maningrida,AU,87.24,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
659,Talanga,HN,75.74,clear sky,14.4,-87.0833,Do;a Albertina Zuniga
666,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
671,Bang Racham,TH,88.05,moderate rain,14.892,100.3173,อมรรัตน์ สุวิชัย
676,Coahuayana,MX,87.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
683,Vanimo,PG,82.17,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
688,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
692,Turbo,CO,77.13,overcast clouds,8.0937,-76.7269,Hotel Plaza Manfortt
694,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
695,Innisfail,AU,79.7,broken clouds,-17.5333,146.0333,Moondarra Motel
696,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
